"","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6"
"11715100_at",3.775403,4.028771,3.841922,3.981354,3.754568,4.027355
"11715101_s_at",5.706556,5.809457,5.648881,5.77429,5.89907,5.575175
"11715102_x_at",4.202694,4.201547,4.110125,4.129442,3.980574,4.26311
"11715103_x_at",4.693202,4.782004,4.828667,5.3607,6.039214,4.950865
"11715104_s_at",4.893018,4.635722,5.107199,5.209277,4.910872,4.821367
"11715105_at",3.313494,3.314036,3.308541,3.076097,3.221623,3.242552
"11715106_x_at",4.489944,4.464323,4.613503,4.784208,4.583929,4.755057
"11715107_s_at",4.674327,4.763316,4.816365,4.825165,4.888919,4.717119
"11715108_x_at",3.539016,3.276739,3.695445,3.840264,3.309228,3.447804
"11715109_at",3.649162,3.549045,3.664208,3.528607,3.624593,3.541011
"11715110_at",5.160796,5.111747,5.122417,5.046517,5.109627,4.71765
"11715111_s_at",7.484085,7.347342,7.685168,7.284035,7.435085,7.573918
"11715112_at",2.79255,3.197359,3.082318,2.804796,3.107885,2.837204
"11715113_x_at",7.640173,7.070318,7.603322,7.221088,7.36084,7.43032
"11715114_x_at",7.470789,7.202843,7.291222,7.122213,7.288781,7.478816
"11715115_s_at",2.631447,2.741053,2.702612,2.922541,2.640628,2.953821
"11715116_s_at",3.39434,3.716609,3.616038,3.468565,3.756988,3.886712
"11715117_x_at",2.707075,2.613645,3.366365,2.735881,2.892947,2.693126
"11715118_s_at",3.087239,2.932105,2.918022,2.982397,2.96243,3.087239
"11715119_s_at",3.06174,3.176799,3.223262,2.99859,3.411604,3.343517
"11715120_s_at",4.057193,3.933217,4.56682,4.10811,4.512168,4.28335
"11715121_s_at",2.9906,2.984612,3.299936,3.249072,3.14063,3.162057
"11715122_at",4.320832,4.166689,4.53849,4.856223,4.880184,4.511284
"11715123_s_at",3.9488,3.475863,3.843389,3.873987,4.266461,3.826752
"11715124_s_at",6.986114,6.879379,6.696125,7.146775,7.243205,7.199741
"11715125_at",8.161746,8.244236,8.11841,8.065893,7.783258,7.964347
"11715126_s_at",4.969848,4.618738,4.968663,4.920683,5.019499,5.054521
"11715127_s_at",3.641316,3.423679,3.859261,3.269769,3.800802,3.793677
"11715128_s_at",5.566546,5.511314,5.700821,5.687861,5.379756,5.813767
"11715129_s_at",7.985754,7.818314,8.117406,8.008013,8.134096,8.170732
"11715130_s_at",5.312218,5.193957,5.387985,5.656493,5.329605,5.609765
"11715131_s_at",3.793228,3.692029,3.579513,3.903284,3.846863,3.773386
"11715132_x_at",2.910415,3.075963,3.203857,3.119075,2.829044,2.898431
"11715133_s_at",2.366345,2.450024,2.318669,2.454713,2.491421,2.603958
"11715134_s_at",2.740655,2.574619,2.701118,2.698491,2.812212,2.74707
"11715135_s_at",3.882719,3.397528,4.108111,3.931106,3.936963,3.891598
"11715136_at",4.405988,4.553702,4.797054,4.729135,4.834455,4.671412
"11715137_s_at",7.415107,7.262541,7.472585,7.364152,7.551193,7.630182
"11715138_s_at",7.62061,7.399815,7.756922,7.406481,7.670447,7.624334
"11715139_x_at",2.799991,2.883077,2.772173,2.774489,2.617335,2.82715
"11715140_s_at",5.065707,4.949266,5.281386,5.11907,5.05834,4.939207
"11715141_s_at",4.065228,3.613821,3.734411,3.733689,3.707251,3.901501
"11715142_s_at",3.201223,2.886365,2.80787,2.839734,2.835312,3.206862
"11715143_s_at",3.586183,3.447644,3.466597,3.607184,3.682853,3.516377
"11715144_s_at",5.348103,5.443191,5.361623,5.430243,5.274256,5.335971
